Result,Moves
0.5,a2a3 e5e4 d2d3 e4e3 c2c3 d5d4 d1c2 c6d5 b2b3 e6e5 c1b2 a5a4 b3a4 b6a5 a4b5 d6b5 a3a4 b5c3 b1c3 e5e6 e1d1 d4c3 b2c3 e6b6 c3a5 d5b3 a5c3 b6b4 a4a5 b4b5 a1a4 c5c4 d3c4 b3c2 d1c2 b5c5 c2d3 c5c6 d3e3 c6e6 e3d2 e6d6 d2c2 d6c6 e2e3 c6e6 c4c5 a6b5 a4b4 b5c5 b4b6 e6e3 a5a6 e3c3 c2c3 c5d5 a6a5 d5e4 a5c5 e4d5 b6a6 d5c5 c3d2 c5b5 a6e6 b5a5 e6d6 a5b5 d6e6 b5a5 e6d6 a5b5 d6e6 b5a5 e6d6 a5b5 d6d5 b5a6 d2c3 a6b6 c3b2 b6a6 d5c5 a6b6 c5d5 b6a6 d5c5 a6b6 c5d5 b6a6 d5c5 a6b6 c5c2 b6a6 c2c4 a6b6 c4c2 b6a6 c2c4 a6b6
1.0,b1a3 d5d4 d2d3 e5e4 c2c3 b5b4 a3c4 d6c4 d3c4 b4c3 b2c3 d4c3 c1a3 a5a4 d1c2 e6d6 c2c3 d6e6 a1d1 e4e3 d1d3 b6b1 d3d1 b1b6 d1d3 b6b1 d3d1 b1b6 d1d3 b6b1 c3c1 b1b6 d3d5 b6a5 e1d1 e6e4 a3c5 a4a3 c1c2 a5a4 c2a4 c6a4 d1e1 e4c4 c5a3 c4c2 d5d3 c2a2 d3e3 a2a1 e1d2 a1a2 d2c1 a4b5 a3b2 b5c4 e3d3 a2b2 c1b2 a6b6 b2c3 b6b5 c3d4 b5b4 d3d2 c4a6 e2e3 a6c4 d2b2 b4a3 d4c4 a3b2 e3e4 b2a3 e4e5 a3a2 e5e6 a2b2 c4d3 b2a3 d3c3 a3a4 e6a6 a4a5 a6a5
1.0,d2d3 e5e4 e1d2 e4d3 c2d3 c5c4 d2e1 c4d3 d1d3 d5d4 b2b3 c6e4 d3d2 b6c6 c1b2 e6e5 d2d4 e5d5 d4c3 d5c5 c3d4 c5c1 b2c1 c6c1 d4d1 c1c5 b1d2 e4d5 a1c1 c5b4 d1c2 a5a4 c2c5 b4d2 e1d2 d6e4 d2d3 e4c5 c1c5 a4b3 a2a3 d5e6 c5c6 a6a5 c6e6 b5b4 a3b4 a5b4 e6b6 b4c5 b6b3 c5d5 d3c3 d5c5 c3d2 c5c6 d2c3 c6c5 c3b2 c5c6 b2c3 c6c5 c3b2 c5c6 b2c3 c6c5 c3b2 c5c6 b3c3 c6d6 c3c4 d6d5 b2b3 d5d6 e2e3 d6d5 e3e4 d5d6 b3b2 d6e6 c4c5 e6d6 e4e5 d6c5 e5e6 c5d4 e6c6 d4d3 c6d5 d3e3 b2c1 e3e2 d5d2 e2d3 d2d3
0.5,b1a3 d5d4 a3b1 d4d3 c2d3 c5c4 d3c4 b5c4 b1c3 b6c5 a2a3 d6e4 d2d3 e4c3 b2c3 e6d6 d1c2 c5d5 a3a4 c4d3 e2d3 d5d3 c2e2 d3e2 e1e2 c6d5 e2d3 d5b3 d3e2 b3d1 e2e3 d1c2 c1d2 d6c6 a1a2 c2b3 a2a3 b3c4 a3a1 c6d6 d2e1 a6b6 a1c1 b6c5 c1a1 d6d3 e3e4 d3d5 e4e3 d5d3 e3e4 d3d5 e4e3 d5d3 e3e4 d3d5 a1c1 c5d6 e4e3 d5d3 e3e4 d3d5 e4e3 d5d3 e3e4 d3d5 e4e3 d5d3 e3e4 d6e6 c1b1 d3d6 b1b2 c4d5 e4e3 d5c4 e3e4 c4d5 e4e3 d5c4 b2b1 e6d5 b1b4 a5b4 c3b4 d5e6 a4a5 d6d3 e3e2 d3d4 e2e3 e6d5 e1c3 d4d3 e3e2 d3c3 e2d2 c3b3 b4b5 c4b5
0.0,e2e3 c5c4 d1e2 a5a4 d2d3 d5d4 e3d4 c4d3 c2d3 e5e4 e2e3 e4d3 e3e6 b6d4 a2a3 d4c4 e6c4 b5c4 c1e3 a6a5 b1c3 d6e4 c3e4 c6e4 e3d4 e4d5 e1d2 d5c6 a1e1 a5b5 e1e5 b5a6 d2c3 c6b5 c3b4 c4c3 e5e6 b5c6 e6c6 c3b2 c6a6 b2b1 b4a5 d3d2 a6b6 b1e4 b6b4 d2d1 d4b6 d1d5 b6c5 d5c5 b4b5 c5c3 a5a6 e4e2 a6b6 e2e6 b6a6 e6a6 b5a5 a6a5
0.0,b2b3 d5d4 e2e3 d6e4 e3d4 e5d4 d1e2 c5c4 c1b2 e4c5 e2e6 c5e6 b1a3 c4c3 b2c1 b6c5 d2d3 c5d6 a3b1 d6e5 e1d1 c6d5 b1a3 e6c5 a1b1 e5d6 a3c4 b5c4 b3c4 d5c6 c1a3 d6e5 b1b3 c6a4 a3c1 a4c6 c1a3 c6a4 a3c1 a4c6 c1a3 c6a4 a3c1 a4c6 c1a3 e5e3 a3c1 e3e6 c1a3 e6e3 a3c1 e3e6 c1a3 e6e3 a3c1 e3e6 c1a3 e6d6 b3b1 d6e5 b1b3 e5d6 b3b1 d6e5 b1b3 e5d6 b3b1 c6a4 b1b5 a4b5 c4b5 a6b5 a3c1 d6e6 a2a3 b5a4 c1d2 c3d2 d1d2 a4a3 c2c3 e6e3 d2c2 e3d3 c2c1 d4c3 c1b2 a5a4 b2a3 d3c4 a3a4 c5a4
1.0,e2e3 c5c4 b2b3 c4c3 d2c3 d5d4 d1d3 c6e4 d3d2 b6c6 e1d1 b5b4 d2e2 d6b5 c3c4 b5c3 b1c3 d4c3 a2a3 e6d6 d1e1 d6d2 c1d2 c3d2 e2d2 b4a3 a1a3 c6c5 b3b4 c5c4 a3a5 a6b6 d2d6 e4c6 e1d1 c4c3 a5e5 c3a1 d1d2 a1a4 d6c5 b6a6 e5e6 a4b5 e6c6 b5b6 c6b6 a6b6 c5b6
0.5,c2c3 b5b4 b1a3 c6b5 a3b5 b6b5 d1c2 c5c4 d2d3 e5e4 d3d4 b4b3 c2d1 a5a4 e2e3 a6b6 e1e2 b5a5 c1d2 a5b5 d1b1 b6a6 b1d1 a6b6 d1b1 b6a6 b1d1 a6b6 d1b1 b6a6 b1d1 a6b6 d2c1 b6a6 e2e1 a6b6 e1e2 b6a6 e2e1 a6b6 c1d2 b6a6 d1b1 a6b6 e1d1 b6a6 d2c1 a6b6 c1d2 b6a6 d2c1 a6b6 c1d2 b6a6 d2c1 a6b6 d1d2 b6a6 d2e1 a6a5 c1d2 a5a6 d2c1 a6a5 c1d2 a5a6 d2c1 a6a5 c1d2 a5a6 b1c1 a6b6 c1d1 b6a6 d1b1 a6b6 b1d1 b6a6 d1b1 a6b6 b1c1 b6a6 c1d1 a6b6 e1e2 b6a6 d2e1 a6b6 e1d2 b6a6 d2e1 a6b6 e1d2 b6a6 d2e1 a6b6 e2d2 b6a6 d1b1 a6b6
0.5,e2e3 d5d4 c2c3 b5b4 b2b3 d4d3 a2a3 d6e4 a1a2 e6d6 c3c4 d6e6 a3a4 e4d6 c1b2 c6e4 d1c1 b6c6 e1d1 a6b6 d1e1 b6a6 e1d1 a6b6 d1e1 b6a6 e1d1 a6b6 d1e1 b6a6 a2a1 a6b6 c1d1 b6a6 d1c1 a6b6 c1d1 b6a6 d1c1 a6b6 c1d1 b6a6 b2c1 a6b6 a1a2 b6a6 c1b2 a6b6 b2a1 b6a6 a1b2 a6b6 b2a1 b6a6 a1b2 a6b6 b2a1 b6a6 a2b2 a6b6 d1c1 b6a6 b2a2 a6b6 a2b2 b6a6 b2a2 a6b6 a2b2 b6a6 b2a2 a6b6 c1b2 b6a6 e1d1 a6b6 b2c1 b6a6 c1b2 a6b6 b2c1 b6a6 c1b2 a6b6 b2c1 b6a6 c1b2 a6b6 d1e1 b6a6 e1d1 a6b6 d1e1 b6a6 e1d1 a6b6 b2c1 b6a6 c1b2 a6b6
0.5,b1c3 d5d4 d2d3 b5b4 c3b1 e5e4 b2b3 a5a4 b1d2 a4a3 d2c4 d6c4 b3c4 e4e3 a1b1 b6a5 b1b3 c6a4 c2c3 b4c3 d1c2 a4b3 a2b3 a3a2 e1d1 a2a1 d1e1 a1c1 c2c1 c3c2 b3b4 a5b4 c1d2 e3d2 e1d2 a6b6 d2c2 e6e2 c2d1 b4d2 d1d2 b6a6 d2e2 a6b6 e2d1 b6a6 d1c2 a6b6 c2b3 b6a6 b3c2 a6b6 c2b3 b6a6 b3c2 a6b6 c2b3 b6a6 b3a3 a6b6 a3b2 b6a6 b2b1 a6b6 b1a2 b6a6 a2b2 a6b6 b2a3 b6a6 a3b2 a6b6 b2a3 b6a6 a3b2 a6b6 b2a3 b6a6 a3a2 a6b6 a2b2 b6a6 b2b1 a6b6 b1a2 b6a6 a2a3 a6b6 a3b2 b6a6 b2b1 a6b6 b1a2 b6a6 a2a3 a6b6 a3b2 b6a6 b2a2 a6b6
